Clase;Grupo;"Cuenta Mayor";Auxiliar;"Sub cuentas del Aux";"Sub cuentas de sub cuenta Aux";Clasificación;"Nombre de la Cuenta"
6;0;0;000;00;00;Clase;"CUENTAS DE RESULTADO DE EGRESOS"
6;1;0;000;00;00;Grupo;Gastos
6;1;1;000;00;00;"Cuenta Mayor";"Gastos de Operación"
6;1;1;001;00;00;Auxiliar;"Sueldos a empleados"
6;1;1;002;00;00;Auxiliar;"Provisionamiento 13avo"
6;1;1;003;00;00;Auxiliar;"Provisionamiento 14avo"
6;1;1;004;00;00;Auxiliar;"Comisiones a vendedores"
6;1;1;005;00;00;Auxiliar;"Seguro social"
6;1;1;006;00;00;Auxiliar;"Alquiler del Local"
6;1;1;007;00;00;Auxiliar;"Energia electrica"
6;1;1;008;00;00;Auxiliar;"Agua "
6;1;1;009;00;00;Auxiliar;"Plan de Telefono"
6;1;1;010;00;00;Auxiliar;"Publicidad "
6;1;1;011;00;00;Auxiliar;"Combustibles y Lubricantes"
6;1;1;012;00;00;Auxiliar;"Reparacion de Vehiculo "
6;1;1;013;00;00;Auxiliar;"Mantenimiento preventivo Vehiculo"
6;1;1;014;00;00;Auxiliar;"Gastos de Viaje"
6;1;1;015;00;00;Auxiliar;"Consumo de papeleria"
6;1;1;016;00;00;Auxiliar;"Seguro de mercaderia"
6;1;1;017;00;00;Auxiliar;"Gasto por entrega de mercaderia a Cliente"
6;1;1;018;00;00;Auxiliar;"Impuesto sobre volumen de Ventas"
6;1;1;019;00;00;Auxiliar;"Depreciacion Equipo de Reparto"
6;1;1;020;00;00;Auxiliar;"Depreciacion Mobiliario y equipo"
6;1;1;021;00;00;Auxiliar;"Equipo menor"
6;1;1;022;00;00;Auxiliar;"Gastos Varios "
6;1;2;000;00;00;"Cuenta Mayor";"Gastos de Venta"
6;1;2;001;00;00;Auxiliar;"Sueldos a empleados"
6;1;2;001;01;00;"Sub cuentas del Aux";"Sueldos a empleados KM MOTOS"
6;1;2;001;01;01;"Sub cuentas de sub cuenta Aux";"Sueldos a empleados KM MOTOS COMAYAGUA"
6;1;2;001;01;02;"Sub cuentas de sub cuenta Aux";"Sueldos a empleados KM MOTOS COMAYAGÜELA"
6;1;2;001;01;03;"Sub cuentas de sub cuenta Aux";"Sueldos a empleados KM MOTOS CATACAMAS - OLANCHO"
6;1;2;001;01;04;"Sub cuentas de sub cuenta Aux";"Sueldos a empleados KM MOTOS JUTIAPA"
6;1;2;001;01;05;"Sub cuentas de sub cuenta Aux";"Sueldos a empleados KM MOTOS JUTICALPA"
6;1;2;001;01;06;"Sub cuentas de sub cuenta Aux";"Sueldos a empleados KM MOTOS RUTA #5"
6;1;2;001;01;07;"Sub cuentas de sub cuenta Aux";"Sueldos a empleados KM MOTOS RUTA #1"
6;1;2;001;01;08;"Sub cuentas de sub cuenta Aux";"Sueldos a empleados KM MOTOS RUTA #2"
6;1;2;001;01;09;"Sub cuentas de sub cuenta Aux";"Sueldos a empleados KM MOTOS RUTA #3"
6;1;2;001;01;10;"Sub cuentas de sub cuenta Aux";"Sueldos a empleados BODEGA 2 - KM MOTOS"
6;1;2;001;01;11;"Sub cuentas de sub cuenta Aux";"Sueldos a empleados CENTRO DE DISTRIBUCION KM MOTOS"
