Proveedor;"2024-07 Unidades";"2024-07 Monto";"2024-07 Costo";"2024-08 Unidades";"2024-08 Monto";"2024-08 Costo";"2024-09 Unidades";"2024-09 Monto";"2024-09 Costo";"2024-10 Unidades";"2024-10 Monto";"2024-10 Costo";"total Unidades";"total Monto";"total Costo"
HENRY;62461;3029829.25;7283196.68;58900;2582775.83;6292074.24;59486;2564276.18;5912771.61;28995;1532741.65;3715030.09;209842;9709622.91;23203072.62
KINGWORLD;15183;2097458;4201424.64;10973;1590359;3224432.74;11048;1590407;3224553.19;4149;752050;1539391.05;41353;6030274;12189801.62
"INVERSIONES MB";11279;960831.23;1533301.46;10440;849073.62;1354800.01;8172;618124.42;981305.26;4713;386487.65;609984.3;34604;2814516.92;4479391.03
VARIANA;4612;293822;561278.63;4522;279918;519001.96;11496;487479;929194.86;4557;188908;377267.7;25187;1250127;2386743.15
SHUSHAN;10231;592771;1420219.09;11186;686257;1593610.17;8808;559238;1294536.3;5914;368046.5;860746.2;36139;2206312.5;5169111.76
ELECTROMAX;4554;282348.62;620764.75;4096;224237.9;513435.76;14191;619006.92;1588288.5;11636;498782.45;1385886.45;34477;1624375.89;4108375.46
"LA META";4905;770151;937489;4080;640085;787287;4622;725819;886720.8;2756;432517;527707.01;16363;2568572;3139203.81
SAFEWAY;670;141954;277380.9;632;148823;286768.94;534;126974;247345;317;68148;135673.4;2153;485899;947168.24
TERCEROS;7929;2165044.73;3091804.7;8707;2157630.9;3059726.44;6415;1908721.32;2668005.56;3900;1029282.37;1445114.75;26951;7260679.32;10264651.45
WIMMA;5970;385961;1175976;4763;338200;1032011.45;4200;284617;846555.5;2272;160837;503019.25;17205;1169615;3557562.2
COREANO;8431;522775;1048137.81;8344;808578;1482059.51;5661;459691;877825.3;4097;278338;568268.03;26533;2069382;3976290.65
ACAVISA;3206;493724;614204;3472;534688;665797.6;3359;517151;643963;2434;374836;460221;12471;1920399;2384185.6
ZOOM-LON;1113;917810;1673208.8;629;503173;944213.4;481;381765;714047;270;219217;415037.8;2493;2021965;3746507
ITALIKA;1075;158297;297933.7;941;119876;226331;871;119070.24;226605;539;76180;152070.9;3426;473423.24;902940.6
UMA;908;136261;212964;944;167828;263583;925;131272;212038.66;540;71864.1;113748;3317;507225.1;802333.66
RONAL;2434;21947;47593;2597;23373;50503.9;1764;15876;35097;992;8928;20341;7787;70124;153534.9
INTEXMA;562;78229;157728.45;492;68492;137711.1;379;50025;103317.1;202;25119;52004;1635;221865;450760.65
MOTOREPUESTOS;174;11920;24540.25;149;13567;25505;112;9230;18137;81;5343;11192;516;40060;79374.25
"ZHEJIANG WELET PLASTIC";798;323505.2;737234;2216;964495.2;1990336.5;1083;447691;994275;596;247581;568004.4;4693;1983272.4;4289849.9
SMD;109;6985;10861;86;5876;9133;76;5516;8670;74;4692;6782;345;23069;35446
MOVESA;125;16492.3;28189;146;13415;23635;114;8753;15996;88;6626;11960;473;45286.3;79780
